id,agencia,ano,id_agencia,nome_mecanismo_agencia,ementa,objetivo_participacao,tema,subtema,lei_1_depois_0_antes,data_convocacao,data_convocacao_ano,instrumento_participacao,data_contribuicao_inicio,data_contribuicao_fim,doc_convocacao_existe,doc_base_existe,rac_existe,rac_data,relatorio_sintese_existe,relatorio_sintese_data,produto_final_descricao,produto_final_data,produto_final_documento,atualizacao_data
ANAC_2008_Consulta Pública Nº 02/2008_250,ANAC,2008,Consulta Pública nº 02/2008,Consulta Pública,Fica instaurada Consulta Pública para a regulamentação do Processo de Alocação de Freqüências Internacionais e de Designação de Empresas Aéreas Regulares Brasileiras,Normas e regulamentos,Serviços aéreos,-,0,39612,2008,PNP,39612,39627,Disponível,Disponível,Disponível,N/D,N/D,N/D,Resolução nº 57,39731,Disponível,43333
ANAC_2008_Consulta Pública Nº 03/2008_185,ANAC,2008,Consulta Pública nº 03/2008,Consulta Pública,Fica instaurada Consulta Pública com vistas à elaboração de regra a ser incluída nos apêndices F do RBHA 135 e M do RBHA 121 – Especificações de Gravadores Digitais de Dados de Vôo para aviões.,Normas e regulamentos,Produtos aeronáuticos,-,0,39658,2008,PNP,39658,39674,Disponível,Disponível,N/D,N/D,N/D,N/D,N/D,N/D,N/D,43333
ANAC_2008_Consulta Pública Nº 05/2008_184,ANAC,2008,Consulta Pública nº 05/2008,Consulta Pública,"Fica instaurada Consulta Pública com vistas à concessão de isenção de demonstração de concordância com o requisito RBHA 23.181 (b), emenda 23-45, peticionada pela Empresa Brasileira de Aeronáutica S.A. - Embraer para o projeto de tipo do avião modelo EMB-500.",Atos e contratos,Produtos aeronáuticos,-,0,39679,2008,PNP,39679,39699,Disponível,Disponível,N/D,N/D,N/D,N/D,N/D,N/D,N/D,43333
ANAC_2008_Consulta Pública Nº 04/2008_247,ANAC,2008,Consulta Pública nº 04/2008,Consulta Pública,"Fica instaurada a Consulta Pública com vistas à elaboração do Regulamento Brasileiro de Aviação Civil nº 01 - RBAC 01, intitulado “Regulamentos Brasileiros de Aviação Civil. Definições, Regras de Redação e Unidades de Medida”.",Normas e regulamentos,Serviços aéreos,-,0,39680,2008,PNP,39680,39690,Disponível,Disponível,Disponível,N/D,N/D,N/D,N/D,N/D,N/D,43333
ANAC_2008_Consulta Pública Nº 06/2008_48,ANAC,2008,Consulta Pública nº 06/2008,Consulta Pública,"Alteração da política tarifária para vôos internacionais com origem no Brasil e destino nos demais países do mundo, exceto os da América do Sul.",Normas e regulamentos,Gestão tarifária,-,0,39696,2008,PNP,39696,39724,Disponível,Disponível,Disponível,N/D,N/D,N/D,Resolução nº 61,39772,Disponível,43333
ANAC_2008_Consulta Pública Nº 07/2008_183,ANAC,2008,Consulta Pública nº 07/2008,Consulta Pública,Condição especial para o projeto de tipo do avião Embraer modelo EMB-500 VLJ aplicável ao respectivo sistema de indicação de velocidades.,Normas e regulamentos,Produtos aeronáuticos,-,0,39702,2008,PNP,39702,39722,Disponível,Disponível,N/D,N/D,N/D,N/D,N/D,N/D,N/D,43333
ANAC_2008_Audiência Pública nº 01/2008_308,ANAC,2008,Audiência Pública nº 01/2008,Audiência Pública,"Submeter à Audiência Pública a minuta de resolução dispondo sobre a realocação
de horários de chegadas e partidas de aeronaves em linhas aéreas domésticas de transporte regular
de passageiros.",Normas e regulamentos,Serviços aéreos,-,0,39714,2008,PP,39714,39763,Disponível,Disponível,N/D,N/D,N/D,N/D,N/D,N/D,N/D,43914
ANAC_2008_Consulta Pública Nº 08/2008_196,ANAC,2008,Consulta Pública nº 08/2008,Consulta Pública,"Aprovação da inclusão, na IAC 3206-0387, da indicação das aeronaves Embraer modelos EMB-170 e EMB-190 no que diz respeito à composição da tripulação – número mínimo de comissários de vôo.",Normas e regulamentos,Formação de profissionais,-,0,39717,2008,PNP,39717,39739,Disponível,Disponível,Disponível,39749,N/D,N/D,Resolução nº 59; Nota Técnica 009/SAR-ANAC/2008,39757,Disponível,43333
ANAC_2008_Consulta Pública Nº 10/2008_246,ANAC,2008,Consulta Pública nº 10/2008,Consulta Pública,Realocação de horários de chegadas e partidas de aeronaves em linhas aéreas domésticas de transporte regular de passageiros.,Normas e regulamentos,Serviços aéreos,-,0,39722,2008,PNP,39722,39783,Disponível,Disponível,N/D,N/D,N/D,N/D,N/D,N/D,N/D,43333
ANAC_2008_Consulta Pública Nº 09/2008_93,ANAC,2008,Consulta Pública nº 09/2008,Consulta Pública,Estabelecimento de critérios e procedimentos para a alocação de áreas aeroportuárias.,Normas e regulamentos,Infraestrutura aeronáutica e aeroportuária,-,0,39748,2008,PNP,39748,39778,Disponível,Disponível,Disponível,N/D,N/D,N/D,N/D,N/D,N/D,43333
